
                  X          honeycombXYData-3
              279.031E-06         11.1336E+03 
              280.62E-06          16.5403E+03 
              282.049E-06         31.0157E+03 
              283.635E-06         22.5953E+03 
              285.06E-06          19.2228E+03 
              286.641E-06         17.5936E+03 
              288.061E-06         21.4136E+03 
              289.636E-06         27.1898E+03 
              291.051E-06         19.4693E+03 
              292.621E-06         27.4241E+03 
              294.031E-06         15.6108E+03 
              295.595E-06         20.9834E+03 
              297.155E-06         19.9768E+03 
              298.557E-06         22.1181E+03 
              300.E-06            12.6561E+03 

 TOTAL         30.168E-03          5.6855E+06 

 MINIMUM        0.              -268.523E-03  
  AT X =                           9.01589E-06
 MAXIMUM      300.E-06            78.5782E+03 
  AT X =                          24.1155E-06 




